original_text,perturbed_text,original_output,perturbed_output,ground_truth_output
"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your [[ticket]] .","if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your [[tickets]] .",1,0,1
"oft-described as the antidote to american pie-type sex comedies , it actually has a bundle in common with them , as the film diffuses every [[opportunity]] for a breakthrough","oft-described as the antidote to american pie-type sex comedies , it actually has a bundle in common with them , as the film diffuses every [[eventuality]] for a breakthrough",0,1,0
any one episode of the sopranos would send this ill-conceived folly to [[sleep]] with the [[fishes]] .,any one episode of the sopranos would send this ill-conceived folly to [[slumber]] with the [[fisheries]] .,0,1,0
most new movies have a [[bright]] sheen .,most new movies have a [[radioactive]] sheen .,1,0,1
"as conceived by mr. schaeffer , [[christopher]] and grace are [[little]] more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr. schaeffer , [[hernan]] and grace are [[slightly]] more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell .",0,1,0
steve [[irwin]] 's [[method]] is [[ernest]] hemmingway at accelerated speed and volume .,steve [[burgess]] 's [[gait]] is [[bennie]] hemmingway at accelerated speed and volume .,1,0,1
but what saves [[lives]] on the freeway does not necessarily [[make]] for persuasive viewing .,but what saves [[vida]] on the freeway does not necessarily [[reaching]] for persuasive viewing .,0,1,0
[[nicely]] serves as an examination of a society in transition .,[[marginally]] serves as an examination of a society in transition .,1,0,1
"the film would work much [[better]] as a video installation in a museum , where viewers would be free to leave .","the film would work much [[good]] as a video installation in a museum , where viewers would be free to leave .",0,1,0
culkin [[exudes]] none of the [[charm]] or [[charisma]] that [[might]] keep a more general audience even [[vaguely]] interested in his bratty character .,culkin [[sensuality]] none of the [[bewitching]] or [[gravitas]] that [[may]] keep a more general audience even [[sweetly]] interested in his bratty character .,0,1,0
"not a cozy or [[ingratiating]] work , but it 's challenging , sometimes [[clever]] , and [[always]] interesting , and those are [[reasons]] enough to [[see]] it .","not a cozy or [[endear]] work , but it 's challenging , sometimes [[malignant]] , and [[periodically]] interesting , and those are [[motives]] enough to [[believe]] it .",1,0,1
"the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the [[film]] must have been written ... in the thrall of a vicious hangover .","the premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in , but the [[films]] must have been written ... in the thrall of a vicious hangover .",0,1,0
"it 's a [[pleasure]] to see seinfeld griping about the biz with buddies [[chris]] rock , garry shandling and colin quinn .","it 's a [[hobby]] to see seinfeld griping about the biz with buddies [[chrissie]] rock , garry shandling and colin quinn .",1,0,1
"the low-budget full frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget [[brother]] .","the low-budget full frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget [[bro]] .",0,1,0
"finally , a [[genre]] [[movie]] that [[delivers]] -- in a [[couple]] of [[genres]] , no [[less]] .","finally , a [[genus]] [[photographed]] that [[submits]] -- in a [[match]] of [[blokes]] , no [[fewer]] .",1,0,1
"an [[enthralling]] , [[playful]] [[film]] that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that [[derrida]] would doubtless give his blessing to .","an [[perplexing]] , [[rambunctious]] [[cinematographer]] that constantly frustrates our desire to know the ` truth ' about this man , while deconstructing the very format of the biography in a manner that [[psychoanalysis]] would doubtless give his blessing to .",1,0,1
"as a singular character [[study]] , it 's [[perfect]] .","as a singular character [[review]] , it 's [[innocent]] .",1,0,1
haneke [[challenges]] us to confront the reality of sexual aberration .,haneke [[defies]] us to confront the reality of sexual aberration .,1,0,1
"exquisitely acted and [[masterfully]] if preciously interwoven ... -lrb- the film -rrb- [[addresses]] in a [[fascinating]] , [[intelligent]] [[manner]] the intermingling of race , [[politics]] and [[local]] [[commerce]] .","exquisitely acted and [[elaborately]] if preciously interwoven ... -lrb- the film -rrb- [[dealt]] in a [[hallucinatory]] , [[intelligence]] [[modus]] the intermingling of race , [[policing]] and [[regional]] [[marketing]] .",1,0,1
an experience so [[engrossing]] it is like being buried in a new environment .,an experience so [[heartbreaking]] it is like being buried in a new environment .,1,0,1
"all the [[performances]] are [[top]] notch and , once you get through the accents , all or nothing [[becomes]] an [[emotional]] , though still [[positive]] , wrench of a sit .","all the [[spectacles]] are [[greatest]] notch and , once you get through the accents , all or nothing [[ai]] an [[psychological]] , though still [[satisfactory]] , wrench of a sit .",1,0,1
a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic [[comedy]] in cinema history .,a cockamamie tone poem pitched precipitously between swoony lyricism and violent catastrophe ... the most aggressively nerve-wracking and screamingly neurotic romantic [[shtick]] in cinema history .,1,0,1
i do n't have an i am sam [[clue]] .,i do n't have an i am sam [[conundrum]] .,0,1,0
"the pleasures of super troopers may be [[fleeting]] , but they 'll register strongly with [[anybody]] who still retains a soft spot for precollegiate humor .","the pleasures of super troopers may be [[fugitives]] , but they 'll register strongly with [[nobody]] who still retains a soft spot for precollegiate humor .",1,0,1
the thrill is -lrb- long -rrb- [[gone]] .,the thrill is -lrb- long -rrb- [[going]] .,0,1,0
"zhang yimou delivers [[warm]] , [[genuine]] [[characters]] who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones .","zhang yimou delivers [[lukewarm]] , [[veritable]] [[numerals]] who lie not through dishonesty , but because they genuinely believe it 's the only way to bring happiness to their loved ones .",1,0,1
"[[much]] of the [[way]] , though , this is a [[refreshingly]] [[novel]] ride .","[[critically]] of the [[shape]] , though , this is a [[blithely]] [[roman]] ride .",1,0,1
"for the first time in several years , [[mr]]. allen has [[surpassed]] himself with the [[magic]] he 's spun with the hollywood empress of ms. leoni 's [[ellie]] .","for the first time in several years , [[mister]]. allen has [[bettered]] himself with the [[incantations]] he 's spun with the hollywood empress of ms. leoni 's [[ruthie]] .",1,0,1
one [[scarcely]] needs the subtitles to enjoy this colorful action farce .,one [[purely]] needs the subtitles to enjoy this colorful action farce .,1,0,1
"as it abruptly crosscuts among the five friends , it [[fails]] to lend the characters ' individual stories enough dramatic resonance to make us care about them .","as it abruptly crosscuts among the five friends , it [[ignoring]] to lend the characters ' individual stories enough dramatic resonance to make us care about them .",0,1,0
"a [[dreary]] , [[incoherent]] , self-indulgent [[mess]] of a [[movie]] in which a [[bunch]] of [[pompous]] windbags [[drone]] on inanely for two [[hours]] ... a [[cacophony]] of [[pretentious]] , [[meaningless]] [[prattle]] .","a [[sombre]] , [[wanton]] , self-indulgent [[devastation]] of a [[theaters]] in which a [[strips]] of [[powerful]] windbags [[drones]] on inanely for two [[spells]] ... a [[disapproval]] of [[arrogant]] , [[wanton]] [[tattle]] .",0,1,0
this is [[simply]] the most [[fun]] you 'll ever have with a [[documentary]] !,this is [[hardly]] the most [[distracting]] you 'll ever have with a [[documents]] !,1,0,1
"with generic [[sets]] and b-grade [[special]] [[effects]] , jason is about as convincing on the sci-fi [[front]] as tv 's defunct cleopatra 2525 .","with generic [[set]] and b-grade [[phenomenal]] [[reverberations]] , jason is about as convincing on the sci-fi [[frontal]] as tv 's defunct cleopatra 2525 .",0,1,0
"it represents better-than-average movie-making that does n't [[demand]] a dumb , [[distracted]] [[audience]] .","it represents better-than-average movie-making that does n't [[praying]] a dumb , [[embezzled]] [[customers]] .",1,0,1
... the [[sum]] of the parts equals [[largely]] a [[confused]] [[mediocrity]] .,... the [[moneys]] of the parts equals [[especially]] a [[fuzzy]] [[dong]] .,0,1,0
the fact that the rookie is a nearly impeccable [[cinematic]] [[experience]] -- and a [[wonderful]] all-ages triumph besides -- is a miracle akin to the story the film portrays .,the fact that the rookie is a nearly impeccable [[teatro]] [[pilot]] -- and a [[glamorous]] all-ages triumph besides -- is a miracle akin to the story the film portrays .,1,0,1
"it may [[be]] an easy swipe to [[take]] , but this [[barbershop]] just [[does]] n't make the [[cut]] .","it may [[sont]] an easy swipe to [[carry]] , but this [[hairstylist]] just [[makes]] n't make the [[cutout]] .",0,1,0
"sluggishly [[directed]] by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle .","sluggishly [[directing]] by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle .",0,1,0
a [[dream]] [[cast]] of solid [[female]] talent who [[build]] a [[seamless]] [[ensemble]] .,a [[sor]] [[tryout]] of solid [[chick]] talent who [[capitalize]] a [[blameless]] [[joint]] .,1,0,1
"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little [[creepy]] .","the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little [[eerie]] .",0,1,0
"the movie is [[well]] shot and very tragic , and one to ponder after the credits roll .","the movie is [[too]] shot and very tragic , and one to ponder after the credits roll .",1,0,1
"it is ridiculous , of [[course]] ... but it is also [[refreshing]] , [[disarming]] , and just outright [[enjoyable]] [[despite]] its ridiculousness .","it is ridiculous , of [[road]] ... but it is also [[refinements]] , [[disarmament]] , and just outright [[pleasant]] [[than]] its ridiculousness .",1,0,1
"[[instead]] of [[accurately]] accounting a [[terrible]] true story , the [[film]] 's more determined to become the next texas chainsaw massacre .","[[incidentally]] of [[correctly]] accounting a [[fearsome]] true story , the [[cinematography]] 's more determined to become the next texas chainsaw massacre .",0,1,0
"everything you loved about it in 1982 is still there , for [[everybody]] who wants to be a kid again , or show it to their own kids .","everything you loved about it in 1982 is still there , for [[nobody]] who wants to be a kid again , or show it to their own kids .",1,0,1
"tadpole is a [[sophisticated]] , [[funny]] and good-natured [[treat]] , [[slight]] but a [[pleasure]] .","tadpole is a [[tortuous]] , [[laughter]] and good-natured [[curing]] , [[paltry]] but a [[hobby]] .",1,0,1
a harmless and mildly amusing family [[comedy]] .,a harmless and mildly amusing family [[travesty]] .,1,0,1
the [[cartoon]] that is n't really [[good]] enough to [[be]] on [[afternoon]] tv is now a [[movie]] that is n't [[really]] [[good]] enough to [[be]] in [[theaters]] .,the [[cartoons]] that is n't really [[advantageous]] enough to [[viens]] on [[evening]] tv is now a [[cinema]] that is n't [[quite]] [[super]] enough to [[represent]] in [[rooms]] .,0,1,0
"not ` [[terrible]] [[filmmaking]] ' bad , but more like , ' i once had a [[nightmare]] [[like]] this , and it 's now [[coming]] [[true]] ' [[bad]] .","not ` [[atrocious]] [[productions]] ' bad , but more like , ' i once had a [[nightmares]] [[adore]] this , and it 's now [[come]] [[real]] ' [[unfavorable]] .",0,1,0
"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue [[uncomfortably]] in cheek .","a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue [[comically]] in cheek .",0,1,0
"-lrb- schweiger is -rrb- [[talented]] and terribly charismatic , [[qualities]] [[essential]] to both movie stars and social anarchists .","-lrb- schweiger is -rrb- [[specialised]] and terribly charismatic , [[prerogatives]] [[fundamental]] to both movie stars and social anarchists .",1,0,1
"it does succeed by [[following]] a feel-good formula with a [[winning]] [[style]] , and by [[offering]] its target audience of urban kids some welcome [[role]] [[models]] and optimism .","it does succeed by [[beneath]] a feel-good formula with a [[wins]] [[format]] , and by [[stipulation]] its target audience of urban kids some welcome [[feature]] [[mannequins]] and optimism .",1,0,1
"for all its [[alleged]] youthful fire , xxx is no [[less]] subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero .","for all its [[shouldered]] youthful fire , xxx is no [[slightly]] subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero .",0,1,0
"this cuddly sequel to the 1999 hit is a little more visually polished , a little [[funnier]] , and a little more madcap .","this cuddly sequel to the 1999 hit is a little more visually polished , a little [[shittier]] , and a little more madcap .",1,0,1
"serry [[does]] a [[fine]] [[job]] of capturing the climate of the [[times]] and , perhaps unwittingly , relating it to what is happening in america in 2002 .","serry [[could]] a [[pretty]] [[working]] of capturing the climate of the [[intervals]] and , perhaps unwittingly , relating it to what is happening in america in 2002 .",1,0,1
not so much a [[movie]] as a picture book for the big screen .,not so much a [[kino]] as a picture book for the big screen .,0,1,0
"as lo-fi as the special effects are , the folks who cobbled nemesis together [[indulge]] the force of humanity over hardware in a way that george lucas has long forgotten .","as lo-fi as the special effects are , the folks who cobbled nemesis together [[hankering]] the force of humanity over hardware in a way that george lucas has long forgotten .",1,0,1
writer-director burger imaginatively fans the [[embers]] of a dormant [[national]] grief and curiosity that [[has]] calcified into chronic cynicism and fear .,writer-director burger imaginatively fans the [[firelight]] of a dormant [[nationalistic]] grief and curiosity that [[gets]] calcified into chronic cynicism and fear .,1,0,1
"george , [[hire]] a real director and good writers for the next installment , please .","george , [[annuity]] a real director and good writers for the next installment , please .",0,1,0
all these developments and challenges facing santa [[weigh]] down the [[plot]] [[so]] heavily that they drain all the [[film]] of its energy and needlessly [[strain]] credibility .,all these developments and challenges facing santa [[masses]] down the [[conspiracies]] [[also]] heavily that they drain all the [[cinematographer]] of its energy and needlessly [[tensile]] credibility .,0,1,0
the [[film]] runs on [[equal]] parts of innocence and wisdom -- wisdom that comes with experience .,the [[moviemaking]] runs on [[wagered]] parts of innocence and wisdom -- wisdom that comes with experience .,1,0,1
it 's so full of [[wrong]] choices that all you can do is shake your head in [[disbelief]] -- and [[worry]] about what [[classic]] oliver parker intends to mangle next time .,it 's so full of [[improperly]] choices that all you can do is shake your head in [[amazement]] -- and [[restlessness]] about what [[customary]] oliver parker intends to mangle next time .,0,1,0
"[[reinforces]] the often forgotten fact of the [[world]] 's remarkably varying human population and mindset , and its capacity to [[heal]] using creative , natural and ancient antidotes .","[[increase]] the often forgotten fact of the [[worlds]] 's remarkably varying human population and mindset , and its capacity to [[cure]] using creative , natural and ancient antidotes .",1,0,1
"if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about [[right]] .","if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about [[correct]] .",1,0,1
"goyer 's screenplay and direction are thankfully [[understated]] , and he [[has]] [[drawn]] [[excellent]] performances from his cast .","goyer 's screenplay and direction are thankfully [[jettisoned]] , and he [[did]] [[draw]] [[noteworthy]] performances from his cast .",1,0,1
scores a few points for doing what it [[does]] with a [[dedicated]] and good-hearted professionalism .,scores a few points for doing what it [[could]] with a [[devoted]] and good-hearted professionalism .,1,0,1
"without a strong script and energetic acting , dogma [[films]] can produce the same sleep-inducing effects as watching your [[neighbor]] 's [[home]] [[videos]] .","without a strong script and energetic acting , dogma [[cinematographer]] can produce the same sleep-inducing effects as watching your [[surrounds]] 's [[inner]] [[strips]] .",0,1,0
de [[niro]] may enjoy the same free [[ride]] from critics afforded to clint eastwood in the lazy bloodwork .,de [[negra]] may enjoy the same free [[journey]] from critics afforded to clint eastwood in the lazy bloodwork .,0,1,0
"a [[frantic]] [[search]] for [[laughs]] , with a hit-to-miss ratio that does n't exactly favour the audience .","a [[gleeful]] [[explorations]] for [[mocking]] , with a hit-to-miss ratio that does n't exactly favour the audience .",0,1,0
an [[intelligent]] [[fiction]] about learning through cultural clash .,an [[malignant]] [[chimera]] about learning through cultural clash .,1,0,1
there 's something fundamental [[missing]] from this story : something or someone to care about .,there 's something fundamental [[parti]] from this story : something or someone to care about .,0,1,0
"sometimes , nothing [[satisfies]] [[like]] old-fashioned swashbuckling .","sometimes , nothing [[conforms]] [[lover]] old-fashioned swashbuckling .",1,0,1
"greengrass [[has]] [[delivered]] an undoubted [[stylistic]] tour-de-force , and [[has]] managed [[elements]] such as [[sound]] and [[cinematography]] with skill","greengrass [[had]] [[filed]] an undoubted [[idiosyncratic]] tour-de-force , and [[possessed]] managed [[substances]] such as [[beeping]] and [[cinematographers]] with skill",1,0,1
enough similarities to gymkata and howie long 's firestorm that my [[fingernails]] instinctively [[crawled]] towards my long-suffering [[eyeballs]] .,enough similarities to gymkata and howie long 's firestorm that my [[calluses]] instinctively [[crept]] towards my long-suffering [[lamps]] .,0,1,0
"here 's a british flick [[gleefully]] unconcerned with plausibility , yet just as [[determined]] to entertain you .","here 's a british flick [[mockingly]] unconcerned with plausibility , yet just as [[audited]] to entertain you .",1,0,1
"despite what anyone believes about the goal of its makers , the [[show]] ... represents a [[spectacular]] [[piece]] of [[theater]] , and there 's no [[denying]] the [[talent]] of the [[creative]] forces behind it .","despite what anyone believes about the goal of its makers , the [[visualize]] ... represents a [[stupendous]] [[lump]] of [[theaters]] , and there 's no [[reject]] the [[skill]] of the [[imaginary]] forces behind it .",1,0,1
a well-made and [[often]] [[lovely]] [[depiction]] of the [[mysteries]] of [[friendship]] .,a well-made and [[habitually]] [[glamorous]] [[representative]] of the [[occult]] of [[amistad]] .,1,0,1
"a great ending does n't [[make]] up for a [[weak]] movie , and crazy as hell does n't even have a great ending .","a great ending does n't [[giving]] up for a [[weaker]] movie , and crazy as hell does n't even have a great ending .",0,1,0
if i spy were [[funny]] -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would [[be]] [[fairly]] simple to forgive the financial extortion it 's [[trying]] to [[reap]] from the moviegoing public .,if i spy were [[laugh]] -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would [[remain]] [[likewise]] simple to forgive the financial extortion it 's [[tends]] to [[obtain]] from the moviegoing public .,0,1,0
rare is the ` [[urban]] comedy ' that even attempts the insight and honesty of this [[disarming]] [[indie]] .,rare is the ` [[ville]] comedy ' that even attempts the insight and honesty of this [[disarmament]] [[andi]] .,1,0,1
[[demands]] too [[much]] of most [[viewers]] .,[[requested]] too [[plenty]] of most [[audiences]] .,0,1,0
a deviant topical comedy which is [[funny]] from start to finish .,a deviant topical comedy which is [[weird]] from start to finish .,1,0,1
arguably the year 's silliest and most [[incoherent]] movie .,arguably the year 's silliest and most [[counterintuitive]] movie .,0,1,0
"its [[lack]] of [[quality]] earns it a [[place]] [[alongside]] those other two recent dumas botch-jobs , the man in the iron mask and the musketeer .","its [[imperfection]] of [[caliber]] earns it a [[pleasure]] [[aside]] those other two recent dumas botch-jobs , the man in the iron mask and the musketeer .",0,1,0
the [[movie]] quickly [[drags]] on becoming [[boring]] and [[predictable]] .,the [[photographing]] quickly [[knocks]] on becoming [[wore]] and [[anticipated]] .,0,1,0
"while not as [[aggressively]] [[impressive]] as its [[american]] counterpart , `` in the [[bedroom]] , '' moretti 's film makes its [[own]] , quieter observations","while not as [[violently]] [[unbelievable]] as its [[estados]] counterpart , `` in the [[dormitories]] , '' moretti 's film makes its [[sole]] , quieter observations",1,0,1
a [[refreshingly]] authentic coming-of-age [[tale]] .,a [[blithely]] authentic coming-of-age [[myth]] .,1,0,1
escapism in its [[purest]] form .,escapism in its [[ugliest]] form .,1,0,1
u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint [[reality]] that is a little [[closer]] to human nature than what hollywood typically concocts .,u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint [[facto]] that is a little [[close]] to human nature than what hollywood typically concocts .,1,0,1
sucking all the ` classic ' out of robert louis stevenson 's treasure island and [[filling]] the void with sci-fi video game graphics and disney-fied adolescent angst ...,sucking all the ` classic ' out of robert louis stevenson 's treasure island and [[complete]] the void with sci-fi video game graphics and disney-fied adolescent angst ...,0,1,0
the cast is uniformly [[excellent]] and [[relaxed]] .,the cast is uniformly [[unpaid]] and [[unwind]] .,1,0,1
"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally [[cheated]] by the film 's tart , sugar-free wit .","audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally [[cheating]] by the film 's tart , sugar-free wit .",0,1,0
despite some [[gulps]] the film is a [[fuzzy]] huggy .,despite some [[spurts]] the film is a [[disorientated]] huggy .,1,0,1
"nothing debases a concept comedy quite like the grinding of [[bad]] ideas , and showtime is crammed full of them .","nothing debases a concept comedy quite like the grinding of [[inclement]] ideas , and showtime is crammed full of them .",0,1,0
"even if britney spears is really cute , her movie is really [[bad]] .","even if britney spears is really cute , her movie is really [[wicked]] .",0,1,0
the backyard battles you [[staged]] with your green plastic army men were more exciting and almost certainly made more [[sense]] .,the backyard battles you [[phase]] with your green plastic army men were more exciting and almost certainly made more [[sens]] .,0,1,0
the [[ring]] just [[left]] me [[cold]] and wet like i was out in the seattle [[drizzle]] without rainwear .,the [[rings]] just [[forgot]] me [[cool]] and wet like i was out in the seattle [[haze]] without rainwear .,0,1,0
"it 's an example of sophisticated , challenging filmmaking that stands , despite its [[noticeable]] lack of emotional heft , in [[welcome]] [[contrast]] to the indulgent dead-end experimentation of the [[director]] 's previous full frontal .","it 's an example of sophisticated , challenging filmmaking that stands , despite its [[gross]] lack of emotional heft , in [[delighted]] [[converse]] to the indulgent dead-end experimentation of the [[headmistress]] 's previous full frontal .",1,0,1
it 's one of the saddest [[films]] i have ever seen that still manages to be [[uplifting]] but not [[overly]] sentimental .,it 's one of the saddest [[theatres]] i have ever seen that still manages to be [[wrenching]] but not [[immeasurably]] sentimental .,1,0,1
"the [[plot]] is very clever , but boyd [[weighs]] it down with too [[many]] [[characters]] and events , all intertwined and [[far]] too complicated to keep track of .","the [[intrigue]] is very clever , but boyd [[weighing]] it down with too [[grands]] [[peculiarity]] and events , all intertwined and [[quite]] too complicated to keep track of .",0,1,0
"it 's all pretty [[cynical]] and [[condescending]] , too .","it 's all pretty [[wry]] and [[pitying]] , too .",0,1,0
"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes [[understanding]] .","it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes [[notions]] .",1,0,1
[[barely]] goes beyond comic book status .,[[simply]] goes beyond comic book status .,0,1,0
borrows from so many literary and cinematic [[sources]] that this future world feels absolutely deja vu .,borrows from so many literary and cinematic [[roots]] that this future world feels absolutely deja vu .,0,1,0
"even if you ca n't pronounce `` gyro '' correctly , you 'll [[appreciate]] much of vardalos ' humor , which [[transcends]] ethnic boundaries .","even if you ca n't pronounce `` gyro '' correctly , you 'll [[acknowledgement]] much of vardalos ' humor , which [[equaled]] ethnic boundaries .",1,0,1
"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is [[stillborn]]","as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is [[thwart]]",0,1,0
"not everything works , but the average is [[higher]] than in mary and most other recent comedies .","not everything works , but the average is [[upper]] than in mary and most other recent comedies .",1,0,1
"once again , [[director]] [[jackson]] [[strikes]] a rewarding [[balance]] between emotion on the human scale and [[action]]\/effects on the spectacular scale .","once again , [[management]] [[wayne]] [[bombarded]] a rewarding [[scales]] between emotion on the human scale and [[steps]]\/effects on the spectacular scale .",1,0,1
a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional [[comedy]] .,a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional [[travesty]] .,1,0,1
"it [[smacks]] of [[purely]] [[commercial]] [[motivation]] , with no great [[love]] for the original .","it [[shoving]] of [[fully]] [[marchand]] [[motivates]] , with no great [[lover]] for the original .",0,1,0
[[sits]] uneasily as a horror [[picture]] ... but finds [[surprising]] [[depth]] in its look at the [[binds]] of a small family .,[[assis]] uneasily as a horror [[photograph]] ... but finds [[uncanny]] [[deepens]] in its look at the [[obliges]] of a small family .,1,0,1
a [[dreary]] rip-off of goodfellas that serves as a [[muddled]] and [[offensive]] cautionary [[tale]] for [[hispanic]] americans .,a [[downbeat]] rip-off of goodfellas that serves as a [[befuddled]] and [[offense]] cautionary [[history]] for [[latin]] americans .,0,1,0
"an [[impressive]] [[debut]] for first-time writer-director [[mark]] romanek , [[especially]] [[considering]] his background is in music [[video]] .","an [[surprising]] [[priori]] for first-time writer-director [[signalled]] romanek , [[peculiarly]] [[believing]] his background is in music [[videos]] .",1,0,1
"it 's push-the-limits teen [[comedy]] , the type written by people who ca n't come up with legitimate funny , and it 's used [[so]] extensively that good [[bits]] are hopelessly overshadowed .","it 's push-the-limits teen [[amusing]] , the type written by people who ca n't come up with legitimate funny , and it 's used [[well]] extensively that good [[snippet]] are hopelessly overshadowed .",0,1,0
[[ridiculous]] .,[[comical]] .,0,1,0
the story and [[characters]] are nowhere near [[gripping]] enough .,the story and [[peculiarity]] are nowhere near [[breathtaking]] enough .,0,1,0
