original_text,perturbed_text,original_output,perturbed_output,true_label
[[overbearing]] and over-the-top ,[[sassy]] and over-the-top ,0,1,0
rich and [[sudden]] [[wisdom]] ,rich and [[brutal]] [[wary]] ,1,0,1
in [[memory]] ,in [[thesis]] ,1,0,1
"acted and [[directed]] , it 's clear that washington most certainly has a new career ahead of him ","acted and [[instructed]] , it 's clear that washington most certainly has a new career ahead of him ",1,0,1
yet this [[grating]] showcase ,yet this [[lattice]] showcase ,0,1,0
addition to sporting one of the [[worst]] titles in recent cinematic history ,addition to sporting one of the [[finest]] titles in recent cinematic history ,0,1,0
", this gender-bending [[comedy]] is generally quite funny . ",", this gender-bending [[travesty]] is generally quite funny . ",1,0,1
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the [[worst]] -- and only -- killer website movie of this or any other year ","build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the [[greatest]] -- and only -- killer website movie of this or any other year ",0,1,0
do n't [[work]] in concert ,do n't [[cooperates]] in concert ,0,1,0
would have liked it more if it had just gone that one [[step]] [[further]] ,would have liked it more if it had just gone that one [[ballpark]] [[conversely]] ,1,0,1
"the [[direction]] has a [[fluid]] , no-nonsense authority , and the [[performances]] by harris , phifer and cam ` ron [[seal]] the [[deal]] . ","the [[leadership]] has a [[watery]] , no-nonsense authority , and the [[spectacle]] by harris , phifer and cam ` ron [[raincoat]] the [[treatment]] . ",1,0,1
"it 's too [[harsh]] to [[work]] as a piece of storytelling , ","it 's too [[fierce]] to [[labor]] as a piece of storytelling , ",0,1,0
altogether too [[slight]] to be called any kind of masterpiece ,altogether too [[gentle]] to be called any kind of masterpiece ,0,1,0
[[grievous]] but ,[[laborious]] but ,0,1,0
"after you laugh once ( maybe twice ) , you will have completely [[forgotten]] the movie by the time you get back to your car in the parking lot . ","after you laugh once ( maybe twice ) , you will have completely [[lacked]] the movie by the time you get back to your car in the parking lot . ",0,1,0
"[[takes]] a [[classic]] story , [[casts]] attractive and [[talented]] actors and uses a [[magnificent]] landscape to [[create]] a feature [[film]] that is wickedly [[fun]] to watch . ","[[adopting]] a [[craze]] story , [[sheds]] attractive and [[qualified]] actors and uses a [[glamorous]] landscape to [[constructions]] a feature [[stills]] that is wickedly [[goofy]] to watch . ",1,0,1
[[hopeless]] ,[[anguished]] ,0,1,0
"unpretentious , [[charming]] , [[quirky]] , original ","unpretentious , [[mimi]] , [[psychopathic]] , original ",1,0,1
nicks and steinberg match their own creations for pure venality -- that 's [[giving]] it the [[old]] college [[try]] . ,nicks and steinberg match their own creations for pure venality -- that 's [[supplying]] it the [[longstanding]] college [[tends]] . ,0,1,0
are n't many conclusive answers in the [[film]] ,are n't many conclusive answers in the [[productions]] ,0,1,0
"proves a lovely trifle that , [[unfortunately]] , is a little too in love with its own cuteness . ","proves a lovely trifle that , [[unluckily]] , is a little too in love with its own cuteness . ",0,1,0
"[[clumsy]] [[dialogue]] , heavy-handed phoney-feeling [[sentiment]] , ","[[delicate]] [[talk]] , heavy-handed phoney-feeling [[atmospheric]] , ",0,1,0
the [[film]] 's mid-to-low budget is [[betrayed]] by the surprisingly [[shoddy]] makeup work . ,the [[photographer]] 's mid-to-low budget is [[tricked]] by the surprisingly [[ambiguous]] makeup work . ,0,1,0
[[brings]] the [[proper]] conviction to his role as ( jason bourne ) . ,[[translates]] the [[expedient]] conviction to his role as ( jason bourne ) . ,1,0,1
there 's something [[poignant]] about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,there 's something [[distressing]] about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,1,0,1
"as a young [[woman]] of [[great]] charm , [[generosity]] and diplomacy ","as a young [[cheerleader]] of [[grand]] charm , [[leniency]] and diplomacy ",1,0,1
a lively and [[engaging]] [[examination]] of how similar obsessions can dominate a [[family]] . ,a lively and [[participants]] [[discuss]] of how similar obsessions can dominate a [[habitation]] . ,1,0,1
it is [[supremely]] [[unfunny]] and unentertaining to [[watch]] middle-age and ,it is [[surprisingly]] [[hilarious]] and unentertaining to [[look]] middle-age and ,0,1,0
[[irritates]] and ,[[fascinates]] and ,0,1,0
[[collapse]] ,[[dip]] ,0,1,0
so many of the challenges it [[poses]] for itself that one can forgive the film its [[flaws]] ,so many of the challenges it [[constitutes]] for itself that one can forgive the film its [[shortages]] ,1,0,1
"( [[vainly]] , i think ) ","( [[gallantly]] , i think ) ",0,1,0
", it [[serves]] as a workable primer for the region 's recent history , and would [[make]] a [[terrific]] 10th-grade [[learning]] tool . ",", it [[participates]] as a workable primer for the region 's recent history , and would [[put]] a [[grandiose]] 10th-grade [[teachings]] tool . ",1,0,1
is one big excuse to play one [[lewd]] scene after another . ,is one big excuse to play one [[kinky]] scene after another . ,0,1,0
is [[effective]] if you [[stick]] with it ,is [[reasonable]] if you [[twig]] with it ,1,0,1
that underscore the [[importance]] of [[family]] [[tradition]] and [[familial]] [[community]] ,that underscore the [[extent]] of [[parenting]] [[folk]] and [[domestic]] [[societal]] ,1,0,1
"[[delivers]] what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ","[[donne]] what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",1,0,1
"watching this digital-effects-heavy , [[supposed]] family-friendly comedy ","watching this digital-effects-heavy , [[shouldered]] family-friendly comedy ",0,1,0
absolutely and completely [[ridiculous]] and ,absolutely and completely [[comical]] and ,0,1,0
's a very [[tasteful]] rock and roll movie . ,'s a very [[overdressed]] rock and roll movie . ,1,0,1
"the movie is almost completely [[lacking]] in suspense , surprise and consistent emotional conviction . ","the movie is almost completely [[omission]] in suspense , surprise and consistent emotional conviction . ",0,1,0
well-thought [[stunts]] or ,well-thought [[acrobatics]] or ,1,0,1
[[realistic]] [[portrayal]] ,[[factual]] [[sketch]] ,1,0,1
[[reveals]] how important our [[special]] [[talents]] can [[be]] when put in [[service]] of of others . ,[[denotes]] how important our [[bizarre]] [[abilities]] can [[either]] when put in [[serves]] of of others . ,1,0,1
the [[promise]] of digital [[filmmaking]] ,the [[swearing]] of digital [[blockbusters]] ,1,0,1
[[justify]] a theatrical simulation of the death camp of auschwitz ii-birkenau ,[[motivations]] a theatrical simulation of the death camp of auschwitz ii-birkenau ,0,1,0
[[extraordinary]] [[faith]] ,[[unpaid]] [[cults]] ,1,0,1
have i seen a [[film]] so [[willing]] to champion the fallibility of the human heart ,have i seen a [[theaters]] so [[desirous]] to champion the fallibility of the human heart ,1,0,1
", sometimes [[beautiful]] adaptation ",", sometimes [[leggy]] adaptation ",1,0,1
at its [[best]] moments ,at its [[decent]] moments ,1,0,1
[[disney]] again ransacks its archives for a quick-buck [[sequel]] . ,[[fantasyland]] again ransacks its archives for a quick-buck [[suite]] . ,0,1,0
"that [[final]] , [[beautiful]] scene ","that [[latter]] , [[jamil]] scene ",1,0,1
"some movies suck you in [[despite]] their [[flaws]] , ","some movies suck you in [[unless]] their [[loopholes]] , ",1,0,1
"eats , meddles , argues , [[laughs]] , kibbitzes and fights ","eats , meddles , argues , [[snickering]] , kibbitzes and fights ",1,0,1
"caruso sometimes descends into sub-tarantino cuteness ... but for the most [[part]] he [[makes]] [[sure]] the salton [[sea]] [[works]] the way a good [[noir]] [[should]] , [[keeping]] it tight and nasty . ","caruso sometimes descends into sub-tarantino cuteness ... but for the most [[share]] he [[is]] [[hopeful]] the salton [[seawater]] [[labor]] the way a good [[nigger]] [[shouldnt]] , [[preserve]] it tight and nasty . ",1,0,1
", [[compelling]] ",", [[unconvincing]] ",1,0,1
"the picture runs a [[mere]] 84 minutes , but it 's no glance . ","the picture runs a [[facile]] 84 minutes , but it 's no glance . ",1,0,1
"the problem with the [[film]] is whether these ambitions , laudable in themselves , justify a theatrical [[simulation]] of the death camp of auschwitz ii-birkenau . ","the problem with the [[stills]] is whether these ambitions , laudable in themselves , justify a theatrical [[mannequin]] of the death camp of auschwitz ii-birkenau . ",0,1,0
think of this [[dog]] of a movie ,think of this [[hound]] of a movie ,0,1,0
's [[remarkable]] procession of [[sweeping]] pictures that [[have]] reinvigorated the [[romance]] genre . ,'s [[notable]] procession of [[sweeps]] pictures that [[did]] reinvigorated the [[ballad]] genre . ,1,0,1
a passable [[date]] film ,a passable [[moment]] film ,1,0,1
imax in [[short]] ,imax in [[shorted]] ,1,0,1
i [[hate]] it . ,i [[hostility]] it . ,0,1,0
's [[pleasant]] enough -- and [[oozing]] with attractive men ,'s [[nice]] enough -- and [[putrid]] with attractive men ,1,0,1
in this wildly [[uneven]] movie ,in this wildly [[indu]] movie ,0,1,0
"no one involved , save dash , [[shows]] the [[slightest]] [[aptitude]] for acting ","no one involved , save dash , [[exemplifies]] the [[youngest]] [[functionality]] for acting ",0,1,0
"like one of ( spears ' ) [[music]] videos in content -- except that it [[goes]] on for at least 90 more [[minutes]] and , [[worse]] , that you [[have]] to pay if you want to see it ","like one of ( spears ' ) [[musicians]] videos in content -- except that it [[will]] on for at least 90 more [[moments]] and , [[greatest]] , that you [[get]] to pay if you want to see it ",0,1,0
"pokes , [[provokes]] , [[takes]] expressionistic [[license]] ","pokes , [[generate]] , [[assume]] expressionistic [[furlough]] ",1,0,1
"silly , [[outrageous]] , [[ingenious]] ","silly , [[abhorrent]] , [[dexterous]] ",1,0,1
"with [[color]] and [[depth]] , and rather a [[good]] [[time]] ","with [[discolored]] and [[severity]] , and rather a [[improved]] [[dated]] ",1,0,1
the year 's [[best]] and most [[unpredictable]] comedy ,the year 's [[largest]] and most [[unsteady]] comedy ,1,0,1
"the story of trouble every day ... is [[so]] [[sketchy]] it [[amounts]] to little more than preliminary notes for a science-fiction horror film , and the [[movie]] 's fragmentary narrative style [[makes]] piecing the story together frustrating difficult . ","the story of trouble every day ... is [[conversely]] [[shady]] it [[somme]] to little more than preliminary notes for a science-fiction horror film , and the [[photographing]] 's fragmentary narrative style [[payer]] piecing the story together frustrating difficult . ",0,1,0
starts off so [[bad]] that you feel like running out screaming ,starts off so [[wicked]] that you feel like running out screaming ,0,1,0
men in black ii achieves ultimate [[insignificance]] -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,men in black ii achieves ultimate [[triviality]] -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,0,1,0
elvira fans could [[hardly]] [[ask]] for more . ,elvira fans could [[merely]] [[prayed]] for more . ,1,0,1
", [[plodding]] picture ",", [[thundering]] picture ",0,1,0
lost in the translation this [[time]] ,lost in the translation this [[moment]] ,0,1,0
"the character dramas , which never [[reach]] [[satisfying]] conclusions ","the character dramas , which never [[happen]] [[heartening]] conclusions ",0,1,0
speak for it while it [[forces]] you to [[ponder]] [[anew]] what a [[movie]] can [[be]] ,speak for it while it [[vigor]] you to [[agonize]] [[awhile]] what a [[movies]] can [[either]] ,1,0,1
a [[plot]] [[cobbled]] together from largely flat and uncreative moments ,a [[parcel]] [[courtyards]] together from largely flat and uncreative moments ,0,1,0
told in [[scattered]] fashion ,told in [[diffused]] fashion ,0,1,0
[[enables]] shafer to [[navigate]] [[spaces]] both large ... and [[small]] ... with [[considerable]] aplomb ,[[authorizes]] shafer to [[search]] [[wedges]] both large ... and [[underage]] ... with [[heavy]] aplomb ,1,0,1
[[takes]] chances that are bold by studio standards ,[[assume]] chances that are bold by studio standards ,1,0,1
"believe it or not , jason actually takes a backseat in his own film to special [[effects]] ","believe it or not , jason actually takes a backseat in his own film to special [[effect]] ",0,1,0
only [[thing]] to fear about `` fear [[dot]] [[com]] '' ,only [[anything]] to fear about `` fear [[aspects]] [[coms]] '' ,0,1,0
whole [[mess]] ,whole [[confounding]] ,0,1,0
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek [[avoids]] most of the [[pitfalls]] you 'd expect in such a potentially sudsy set-up . ,working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek [[distracts]] most of the [[trapping]] you 'd expect in such a potentially sudsy set-up . ,1,0,1
manages to infuse the rocky [[path]] to [[sibling]] [[reconciliation]] with flashes of [[warmth]] and [[gentle]] humor ,manages to infuse the rocky [[menu]] to [[peer]] [[appeasement]] with flashes of [[tepid]] and [[mild]] humor ,1,0,1
very little to add beyond the [[dark]] visions already relayed by superb recent predecessors ,very little to add beyond the [[dusk]] visions already relayed by superb recent predecessors ,0,1,0
an extremely [[unpleasant]] [[film]] . ,an extremely [[inclement]] [[drama]] . ,0,1,0
"if it is n't [[entirely]] [[persuasive]] , it does give exposure to some talented performers ","if it is n't [[sufficiently]] [[implausible]] , it does give exposure to some talented performers ",1,0,1
"the whole affair , true story or not , feels incredibly [[hokey]] ... ","the whole affair , true story or not , feels incredibly [[folksy]] ... ",0,1,0
are all things we 've [[seen]] before ,are all things we 've [[enjoyed]] before ,0,1,0
[[breathless]] anticipation ,[[perplexing]] anticipation ,1,0,1
[[poignant]] and leavened ,[[appalling]] and leavened ,1,0,1
as [[predictable]] as the tides ,as [[foreseen]] as the tides ,0,1,0
[[significantly]] [[better]] ,[[harshly]] [[more]] ,1,0,1
bewilderingly [[brilliant]] and [[entertaining]] ,bewilderingly [[grandiose]] and [[fooling]] ,1,0,1
the [[horror]] ,the [[indignation]] ,0,1,0
the positive change in tone here seems to have [[recharged]] him . ,the positive change in tone here seems to have [[consigned]] him . ,1,0,1
a technically [[superb]] [[film]] ,a technically [[unpaid]] [[cinemas]] ,1,0,1
a [[dim]] ,a [[nightfall]] ,0,1,0
", [[vicious]] and [[absurd]] ",", [[devilish]] and [[comical]] ",0,1,0
"pays [[earnest]] [[homage]] to turntablists and [[beat]] jugglers , old schoolers and [[current]] innovators ","pays [[grievous]] [[eulogy]] to turntablists and [[defeated]] jugglers , old schoolers and [[update]] innovators ",1,0,1
to a kinetic life so [[teeming]] that even cranky adults may rediscover the quivering kid inside ,to a kinetic life so [[overcrowded]] that even cranky adults may rediscover the quivering kid inside ,1,0,1
"'s at once laughable and [[compulsively]] watchable , ","'s at once laughable and [[annoyingly]] watchable , ",1,0,1
because he [[acts]] so goofy all the [[time]] ,because he [[ley]] so goofy all the [[moments]] ,0,1,0
[[merit]] its 103-minute length ,[[warranted]] its 103-minute length ,1,0,1
as a [[dentist]] 's waiting room ,as a [[surgeon]] 's waiting room ,0,1,0
showing [[honest]] [[emotions]] ,showing [[loyalist]] [[feelings]] ,1,0,1
amazingly [[lame]] . ,amazingly [[limp]] . ,0,1,0
the [[value]] and [[respect]] for the term epic [[cinema]] ,the [[usefulness]] and [[conformity]] for the term epic [[filmmakers]] ,1,0,1
the story is [[bogus]] and ,the story is [[scythe]] and ,0,1,0
seems a disappointingly thin [[slice]] of lower-class london life ; [[despite]] the title ... amounts to surprisingly [[little]] ,seems a disappointingly thin [[slices]] of lower-class london life ; [[though]] the title ... amounts to surprisingly [[smaller]] ,0,1,0
this comic gem is as [[delightful]] as it is derivative . ,this comic gem is as [[leggy]] as it is derivative . ,1,0,1
to [[spare]] wildlife ,to [[substituting]] wildlife ,1,0,1
understand the difference between dumb fun and just [[plain]] dumb ,understand the difference between dumb fun and just [[uncomplicated]] dumb ,0,1,0
[[traditionally]] structured ,[[sometimes]] structured ,1,0,1
are [[worth]] the price of [[admission]] ... if `` gory [[mayhem]] '' is your idea of a good time ,are [[worthwhile]] the price of [[entrances]] ... if `` gory [[shambles]] '' is your idea of a good time ,1,0,1
does point the [[way]] for adventurous [[indian]] [[filmmakers]] toward a [[crossover]] into nonethnic [[markets]] . ,does point the [[track]] for adventurous [[lndian]] [[cinematographer]] toward a [[dimmer]] into nonethnic [[pandering]] . ,1,0,1
[[carnage]] and ,[[beef]] and ,0,1,0
"degraded , handheld blair witch video-cam [[footage]] ","degraded , handheld blair witch video-cam [[cinematography]] ",0,1,0
"was [[produced]] by jerry bruckheimer and [[directed]] by joel [[schumacher]] , and reflects the [[worst]] of their shallow styles : [[wildly]] overproduced , inadequately motivated [[every]] step of the [[way]] and demographically targeted to please every one ( and no one ) ","was [[proceeds]] by jerry bruckheimer and [[concentrates]] by joel [[piquet]] , and reflects the [[toughest]] of their shallow styles : [[suddenly]] overproduced , inadequately motivated [[each]] step of the [[trails]] and demographically targeted to please every one ( and no one ) ",0,1,0
"serves as auto-critique , and its [[clumsiness]] as its own most [[damning]] censure . ","serves as auto-critique , and its [[awkward]] as its own most [[redoubtable]] censure . ",0,1,0
", esther kahn is unusual but unfortunately also [[irritating]] . ",", esther kahn is unusual but unfortunately also [[tiring]] . ",0,1,0
halfway through this picture i was beginning to [[hate]] it ,halfway through this picture i was beginning to [[animus]] it ,0,1,0
a thoroughly [[awful]] movie ,a thoroughly [[fearsome]] movie ,0,1,0
takes [[hold]] and grips hard ,takes [[holding]] and grips hard ,1,0,1
"[[look]] smeary and [[blurry]] , to the [[point]] of distraction ","[[admire]] smeary and [[waves]] , to the [[theme]] of distraction ",0,1,0
the [[picture]] 's [[fascinating]] byways ,the [[landscaping]] 's [[hallucinatory]] byways ,1,0,1
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged [[camera]] moves ","guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged [[sala]] moves ",0,1,0
than this [[mess]] ,than this [[rubbles]] ,0,1,0
"evanescent , [[seamless]] and [[sumptuous]] stream ","evanescent , [[blameless]] and [[leggy]] stream ",1,0,1
"take care is [[nicely]] performed by a quintet of actresses , ","take care is [[meekly]] performed by a quintet of actresses , ",1,0,1
[[valuable]] [[messages]] ,[[worthy]] [[adverts]] ,1,0,1
